species,location,time,description of bird,sex,feather color,activity_period,back_color,behavior,bill_color,bill_length,bill_shape,body_color,breast_color,cap_color,cheek_color,chest_color,chin_color,collar_color,crest_color,crown_color,eye_color,face_color,feeding_behavior,flight_style,foot_color,habitat_preference,head_color,head_marking,head_ornament,height,leg_color,leg_covering,leg_length,locomotion,nape_color,neck_color,neck_length,plumage_color,plumage_finish,plumage_pattern,rump_color,shoulder_color,side_color,size,tail_color,tail_length,tail_shape,throat_color,underparts_color,underwing_color,upperparts_color,vocalization,wing_color,wingtip_color
Bohemian Waxwing,Calgary,07-07-2023 09:55,"A medium-sized bird with a gray-brown plumage, a black mask, and waxy red tips on its wings",Unknown,"Gray-brown, Black, and Red",,,,,,,,,,,,,,,,,,,,,,,mask,,,,,,,,,,gray_brown,,,,,,medium,,,,,,,,,,
Oriental Magpie-Robin,Delhi,25-06-2023 12:40,A medium-sized songbird with a black-and-white plumage and a melodious song,Unknown,Black and White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,black|white,,,,,,medium,,,,,,,,song,,
Lilac-breasted Roller,Nairobi,03-07-2023 15:05,"A colorful bird with a lilac plumage, a blue head, and a distinctive rolling flight pattern",Unknown,Lilac and Blue,,,,,,,,,,,,,,,,,,,,,,blue,,,,,,,,,,,purple,,,,,,,,,,,,,,,,
Rufous-crowned Sparrow,Los Angeles,26-06-2023 16:30,"A small sparrow with a brown plumage, a rusty crown, and a distinctive buzzing trill",Unknown,Brown and Rusty,,,,,,,,,,,,,,,rust,,,,,,,,,,,,,,,,,,brown,,,,,,small,,,,,,,,song,,
Eurasian Tree Sparrow,Amsterdam,04-07-2023 09:25,A small sparrow with a brown plumage and a black patch on its cheek,Unknown,Brown and Black,,,,,,,,,,black,,,,,,,,,,,,,,,,,,,,,,,brown,,,,,,small,,,,,,,,,,
Yellow-throated Vireo,New York City,27-06-2023 11:40,"A small songbird with a yellow throat, a gray head, and a melodious song",Male,Yellow and Gray,,,,,,,,,,,,,,,,,,,,,,gray,,,,,,,,,,,,,,,,,small,,,,yellow,,,,song,,
Short-eared Owl,London,05-07-2023 13:30,"A medium-sized owl with a mottled brown plumage, a short ear tufts, and a distinctive ""barking"" call",Unknown,Brown,,,,,,,,,,,,,,,,,,,,,,,,ear_tufts,,,,,,,,,brown,,mottled,,,,medium,,,,,,,,call,,
Black-and-white Warbler,Chicago,23-06-2023 14:45,A small warbler with a black-and-white striped plumage,Male,Black and White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,black|white,,striped,,,,small,,,,,,,,,,
Laughing Kookaburra,Sydney,01-07-2023 16:55,"A medium-sized bird with a brownish-plumage, a white underbody, and a distinctive laughing call",Unknown,Brownish and White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brown,,,,,,medium,,,,,white,,,call,,
White-breasted Nuthatch,Seattle,24-06-2023 09:55,"A small songbird with a blue-gray upper body, a white underbody, and a distinctive ""yank-yank"" call",Unknown,Blue-gray and White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,small,,,,,white,,blue_gray,call,,
Black-headed Grosbeak,Denver,02-07-2023 11:20,"A medium-sized songbird with a black head, a rusty-orange underbody, and a large bill",Male,Black and Rusty-orange,,,,,,,,,,,,,,,,,,,,,,black,,,,,,,,,,,,,,,,,medium,,,,,orange|rust,,,,,
Rock Ptarmigan,Anchorage,25-06-2023 12:35,A medium-sized gamebird with a mottled gray-brown plumage and a distinctive white winter plumage,Male,Gray-brown and White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gray_brown,,mottled,,,,medium,,,,,,,,,,
Northern Cardinal,Atlanta,03-07-2023 14:50,A medium-sized songbird with a red plumage and a distinctive crest,Male,Red,,,,,,,,,,,,,,,,,,,,,,,,crest,,,,,,,,,red,,,,,,medium,,,,,,,,,,
Gray-cheeked Thrush,New York City,26-06-2023 16:15,"A medium-sized thrush with a gray plumage, a rusty tail, and a melodious song",Unknown,Gray and Rusty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gray,,,,,,medium,rust,,,,,,,song,,
Wood Duck,Vancouver,04-07-2023 09:55,"A medium-sized duck with a colorful plumage, including iridescent green, a distinctive crested head, and a white eye patch",Male,"Green, White, and Colorful",,,,,,,,,,,,,,,,white,,,,,,,,crest,,,,,,,,,green,iridescent,,,,,medium,,,,,,,,,,
Pileated Woodpecker,Seattle,27-06-2023 12:40,"A large woodpecker with a black plumage, a red crest, and a distinctive ""laughing"" call",Unknown,Black and Red,,,,,,,,,,,,,,red,,,,,,,,,,crest,,,,,,,,,black,,,,,,large,,,,,,,,call,,
Red-headed Woodpecker,Chicago,05-07-2023 14:05,A medium-sized woodpecker with a black-and-white plumage and a bright red head,Male,"Black, White, and Red",,,,,,,,,,,,,,,,,,,,,,red,,,,,,,,,,,black|white,,,,,,medium,,,,,,,,,,
Green Heron,New Orleans,28-06-2023 09:45,"A small heron with a greenish-gray plumage, a chestnut neck, and a dagger-like bill",Unknown,Greenish-gray and Chestnut,,,,,,dagger,,,,,,,,,,,,,,,,,,,,,,,,,chestnut,,gray|green,,,,,,small,,,,,,,,,,
Chestnut-sided Warbler,New York City,06-07-2023 11:10,"A small warbler with a yellow underbody, a chestnut-colored patch on its sides, and a gray head",Male,"Yellow, Chestnut, and Gray",,,,,,,,,,,,,,,,,,,,,,gray,,,,,,,,,,,,,,,,chestnut|red,small,,,,,yellow,,,,,
Eurasian Golden Oriole,Amsterdam,29-06-2023 13:40,A medium-sized bird with a bright yellow plumage and a melodious flute-like song,Male,Yellow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yellow,,,,,,medium,,,,,,,,song,,
Sooty Tern,Sydney,07-07-2023 15:05,"A medium-sized seabird with a black plumage, a white underbody, and a distinctive ""kerrr"" call",Unknown,Black and White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,black,,,,,,medium,,,,,white,,,call,,
Black-chinned Hummingbird,Tucson,26-06-2023 09:55,"A small hummingbird with a green back, a black chin, and a metallic sheen",Male,"Green, Black, and Metallic",,green,,,,,,,,,,black,,,,,,,,,,,,,,,,,,,,,,iridescent,,,,,small,,,,,,,,,,
Alder Flycatcher,Seattle,08-07-2023 11:15,"A small songbird with a brownish-plumage, a distinctive ""fee-bee-o"" call, and a habit of perching in alder trees",Unknown,Brownish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brown,,,,,,small,,,,,,,,call,,
Red-bellied Pitta,Kuala Lumpur,23-06-2023 12:30,"A small bird with a colorful plumage, including red, green, and blue",Unknown,"Red, Green, and Blue",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,blue|green|red,,,,,,small,,,,,,,,,,
Mallard,Paris,01-07-2023 14:50,"A medium-sized dabbling duck with a colorful plumage, including iridescent green, a white neck ring, and a distinctive quacking call",Unknown,"Green, White, and Colorful",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,white,,green,iridescent,,,,,medium,,,,,,,,call,,
Belted Kingfisher,London,24-06-2023 16:15,"A medium-sized bird with a blue-gray plumage, a white underbody, and a distinctive rattling call",Unknown,Blue-gray and White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,blue_gray,,,,,,medium,,,,,white,,,call,,
Eurasian Jackdaw,Edinburgh,02-07-2023 09:25,"A small bird with a black plumage, a gray nape, and a distinctive jack-like call",Unknown,Black and Gray,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gray,,,black,,,,,,small,,,,,,,,call,,
Hooded Merganser,Calgary,25-06-2023 11:40,A small diving duck with a black-and-white plumage and a distinctive fan-shaped crest,Male,Black and White,,,,,,,,,,,,,,,,,,,,,,,,crest,,,,,diving,,,,black|white,,,,,,small,,,,,,,,,,
Black-billed Magpie,Denver,03-07-2023 13:45,A medium-sized bird with a black-and-white plumage and a long tail,Unknown,Black and White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,black|white,,,,,,medium,,long,,,,,,,,
Northern Shoveler,Anchorage,26-06-2023 15:05,"A medium-sized dabbling duck with a colorful plumage, including iridescent green, a distinctive shovel-shaped bill, and a blue forewing patch",Male,"Green, Blue, and Colorful",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,green,iridescent,,,,,medium,,,,,,,,,blue,
Hooded Oriole,Los Angeles,04-07-2023 09:55,"A medium-sized bird with a yellow plumage, a black hood, and a melodious song",Male,Yellow and Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yellow,,,,,,medium,,,,,,,,song,,
Gray Wagtail,Oslo,27-06-2023 12:20,"A small bird with a gray plumage, a yellow underbody, and a distinctive wagging tail",Unknown,Gray and Yellow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gray,,,,,,small,,,,,yellow,,,,,
Ring-necked Duck,Vancouver,05-07-2023 14:35,A medium-sized diving duck with a black-and-white plumage and a distinctive chestnut-colored neck ring,Male,"Black, White, and Chestnut",,,,,,,,,,,,,,,,,,,,,,,,,,,,,diving,,chestnut|red,,black|white,,,,,,medium,,,,,,,,,,
Rufous-bellied Niltava,Kathmandu,28-06-2023 09:55,"A small bird with a brownish-plumage, a rusty underbody, and a vibrant blue crown",Male,"Brownish, Rusty, and Blue",,,,,,,,,,,,,,,blue,,,,,,,,,,,,,,,,,,brown,,,,,,small,,,,,rust,,,,,
American Pipit,Seattle,06-07-2023 11:10,"A small songbird with a brownish-plumage, a white underbody, and a habit of bobbing its tail",Unknown,Brownish and White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brown,,,,,,small,,,,,white,,,,,
Red-breasted Merganser,London,29-06-2023 13:30,"A medium-sized diving duck with a brownish-plumage, a red head, and a long, thin bill",Unknown,Brownish and Red,,,,,long,slender,,,,,,,,,,,,,,,,red,,,,,,,diving,,,,brown,,,,,,medium,,,,,,,,,,
Bank Swallow,Chicago,07-07-2023 15:45,"A small bird with a brownish-plumage, a white underbody, and a habit of nesting in sandy riverbanks",Unknown,Brownish and White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brown,,,,,,small,,,,,white,,,,,
Eurasian Bullfinch,Paris,26-06-2023 09:55,"A small finch with a colorful plumage, including gray, pink, and black",Male,"Gray, Pink, and Black",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,black|gray|pink,,,,,,small,,,,,,,,,,
Brewer's Blackbird,Seattle,01-07-2023 12:40,A medium-sized blackbird with a black plumage and a distinctive bright yellow eye,Male,Black and Yellow,,,,,,,,,,,,,,,,yellow,,,,,,,,,,,,,,,,,black,,,,,,medium,,,,,,,,,,
Cactus Wren,Tucson,08-07-2023 14:10,"A medium-sized wren with a brown plumage, a white eyebrow stripe, and a loud, rattling song",Unknown,Brown and White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brown,,,,,,medium,,,,,,,,song,,
Blackpoll Warbler,New York City,27-06-2023 16:35,"A small warbler with a black cap, a white underbody, and a gray back",Male,"Black, White, and Gray",,gray,,,,,,,black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,small,,,,,white,,,,,
Gray Partridge,London,02-07-2023 09:55,A medium-sized gamebird with a grayish-brown plumage and a distinctive face pattern,Unknown,Grayish-brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gray_brown,,,,,,medium,,,,,,,,,,
American White Pelican,Denver,28-06-2023 11:20,"A large waterbird with a white plumage, a long bill, and a distinctive throat pouch",Unknown,White,,,,,long,,,,,,,,,,,,,,,,,,,,,,,,,,,,white,,,,,,large,,,,,,,,,,
Black Skimmer,New Orleans,03-07-2023 14:35,"A medium-sized seabird with a black upper body, a white underbody, and a distinctive elongated lower bill",Unknown,Black and White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,medium,,,,,white,,black,,,
African Grey Hornbill,Nairobi,29-06-2023 16:55,"A medium-sized bird with a gray plumage, a large curved bill, and a distinctive red casque on top of its bill",Unknown,Gray and Red,,,,,,curved,,,,,,,,,,,,,,,,,,,,,,,,,,,gray,,,,,,medium,,,,,,,,,,
White-tailed Ptarmigan,Yellowknife,04-07-2023 09:50,"A medium-sized gamebird with a mottled gray-brown plumage, a white winter plumage, and a distinctive white tail",Male,Gray-brown and White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gray_brown,,mottled,,,,medium,white,,,,,,,,,
Lark Bunting,Denver,30-06-2023 12:30,A medium-sized bunting with a black-and-white plumage and a melodious song,Male,Black and White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,black|white,,,,,,medium,,,,,,,,song,,
Purple Finch,Calgary,05-07-2023 14:50,"A medium-sized finch with a colorful plumage, including purple, red, and brown",Male,"Purple, Red, and Brown",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brown|purple|red,,,,,,medium,,,,,,,,,,
Common Grackle,New York City,01-07-2023 09:55,A medium-sized blackbird with a black plumage and a distinctive keel-shaped tail,Male,Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,black,,,,,,medium,,,,,,,,,,
Cape May Warbler,Toronto,06-07-2023 13:45,"A small warbler with a yellow underbody, a chestnut cheek patch, and distinctive dark streaks on its breast",Male,"Yellow, Chestnut, and Dark",,,,,,,,,,chestnut,,,,,,,,,,,,,,,,,,,,,,,,,streaked,,,,small,,,,,yellow,,,,,
Eurasian Spoonbill,Amsterdam,27-06-2023 16:55,"A large wading bird with a white plumage, a distinctive spoon-shaped bill, and a habit of sweeping its bill from side to side while feeding",Unknown,White,,,,,,spoon,,,,,,,,,,,,,,,,,,,,,,,wading,,,,white,,,,,,large,,,,,,,,,,
Red-breasted Sapsucker,Seattle,02-07-2023 09:25,"A medium-sized woodpecker with a black-and-white plumage, a red head, and distinctive horizontal rows of holes on trees",Unknown,"Black, White, and Red",,,,,,,,,,,,,,,,,,,,,,red,,,,,,,,,,,black|white,,,,,,medium,,,,,,,,,,
Ruddy Turnstone,New York City,28-06-2023 11:40,A small sandpiper with a mottled brown plumage and a distinctive pattern of black-and-white on its back,Unknown,"Brown, Black, and White",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brown,,mottled,,,,small,,,,,,,,,,
Greater Prairie-Chicken,Chicago,03-07-2023 14:05,"A large grouse with a mottled brown plumage, a colorful neck sac, and a distinctive ""booming"" courtship display",Male,Brown and Colorful,,,courtship_display,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brown,,mottled,,,,large,,,,,,,,,,
Purple Gallinule,Miami,29-06-2023 16:30,"A medium-sized waterbird with a colorful plumage, including purple, blue, and green",Unknown,"Purple, Blue, and Green",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,blue|green|purple,,,,,,medium,,,,,,,,,,
American Goldfinch,Seattle,04-07-2023 09:45,A small finch with a bright yellow plumage and a distinctive black cap,Male,Yellow and Black,,,,,,,,,black,,,,,,,,,,,,,,,,,,,,,,,,yellow,,,,,,small,,,,,,,,,,
Harris's Hawk,Tucson,30-06-2023 12:10,"A medium-sized hawk with a brown plumage, a reddish shoulder patch, and a distinctive white rump",Unknown,"Brown, Reddish, and White",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brown,,,white,red,,medium,,,,,,,,,,
Peregrine Falcon,London,05-07-2023 13:30,"A medium-sized falcon with a dark gray plumage, a black ""moustache"" mark, and a high-speed dive known as a ""stoop""",Unknown,Dark Gray and Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gray,,,,,,medium,,,,,,,,,,
Spotted Towhee,Vancouver,07-07-2023 15:05,"A medium-sized sparrow with a black upper body, a rusty underbody, and distinctive white spots on its wings",Male,"Black, Rusty, and White",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,spotted,,,,medium,,,,,rust,,black,,white,
Ruddy Duck,Calgary,26-06-2023 09:55,"A small diving duck with a colorful plumage, including chestnut, black, and white",Male,"Chestnut, Black, and White",,,,,,,,,,,,,,,,,,,,,,,,,,,,,diving,,,,black|chestnut|white,,,,,,small,,,,,,,,,,
Chestnut-backed Chickadee,Seattle,01-07-2023 12:30,"A small songbird with a gray upper body, a rusty-brown cap, and a distinctive chick-a-dee-dee call",Unknown,Gray and Rusty-brown,,,,,,,,,brown|rust,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,small,,,,,,,gray,call,,
Eurasian Reed Warbler,Moscow,08-07-2023 14:10,"A small warbler with a brown plumage, a white underbody, and a melodious song",Unknown,Brown and White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brown,,,,,,small,,,,,white,,,song,,
Eastern Whip-poor-will,Atlanta,27-06-2023 09:55,"A medium-sized nocturnal bird with a mottled brown plumage, a large mouth, and a distinctive ""whip-poor-will"" call",Unknown,Brown,nocturnal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brown,,mottled,,,,medium,,,,,,,,call,,
White-crowned Sparrow,Los Angeles,02-07-2023 11:20,"A medium-sized sparrow with a gray plumage, a distinctive black-and-white head pattern, and a melodious song",Unknown,"Gray, Black, and White",,,,,,,,,,,,,,,,,,,,,,black|white,,,,,,,,,,,gray,,,,,,medium,,,,,,,,song,,
African Penguin,Cape Town,28-06-2023 13:40,A medium-sized penguin with a black-and-white plumage and a distinctive pink gland above its eyes,Unknown,"Black, White, and Pink",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,black|white,,,,,,medium,,,,,,,,,,
Black-crowned Night Heron,New Orleans,03-07-2023 15:05,"A medium-sized heron with a black plumage, a white underbody, and red eyes",Unknown,"Black, White, and Red",,,,,,,,,,,,,,,,red,,,,,,,,,,,,,,,,,black,,,,,,medium,,,,,white,,,,,
Eastern Screech-Owl,Atlanta,29-06-2023 16:55,"A small owl with a mottled gray plumage, a distinctive ear tufts, and a haunting trilling call",Unknown,Gray,,,,,,,,,,,,,,,,,,,,,,,,ear_tufts,,,,,,,,,gray,,mottled,,,,small,,,,,,,,call|song,,
Herring Gull,Boston,04-07-2023 09:45,"A large gull with a gray-and-white plumage, a yellow bill, and a distinctive ""laughing"" call",Unknown,"Gray, White, and Yellow",,,,yellow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gray|white,,,,,,large,,,,,,,,call,,
Australian Pelican,Sydney,23-06-2023 12:40,"A large waterbird with a white plumage, a long bill, and a distinctive throat pouch",Unknown,White,,,,,long,,,,,,,,,,,,,,,,,,,,,,,,,,,,white,,,,,,large,,,,,,,,,,
Red Knot,Seattle,01-07-2023 14:10,"A medium-sized sandpiper with a rusty plumage, a white underbody, and a long bill",Unknown,Rusty and White,,,,,long,,,,,,,,,,,,,,,,,,,,,,,,,,,,rust,,,,,,medium,,,,,white,,,,,
Common Moorhen,London,26-06-2023 16:35,"A medium-sized waterbird with a black plumage, a red bill, and a distinctive white undertail",Male,"Black, Red, and White",,,,red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,black,,,,,,medium,,,,,,,,,,
Long-eared Owl,Denver,04-07-2023 09:55,"A medium-sized owl with a mottled brown plumage, long ear tufts, and a fierce glare",Unknown,Brown,,,,,,,,,,,,,,,,,,,,,,,,ear_tufts,,,,,,,,,brown,,mottled,,,,medium,,,,,,,,,,
Common Chaffinch,Edinburgh,02-07-2023 11:15,"A small finch with a colorful plumage, including blue, brown, and pink",Unknown,"Blue, Brown, and Pink",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,blue|brown|pink,,,,,,small,,,,,,,,,,
Bar-tailed Godwit,Anchorage,27-06-2023 12:35,"A medium-sized wading bird with a mottled brown plumage, a long, upturned bill, and distinctive barred tail feathers",Unknown,Brown and Barred,,,,,,upturned,,,,,,,,,,,,,,,,,,,,,,,wading,,,,brown,,barred|mottled,,,,medium,,,,,,,,,,
Red-bellied Woodpecker,Atlanta,05-07-2023 13:30,"A medium-sized woodpecker with a grayish-brown plumage, a red cap, and a distinctive ""churr"" call",Unknown,Grayish-brown and Red,,,,,,,,,red,,,,,,,,,,,,,,,,,,,,,,,,gray_brown,,,,,,medium,,,,,,,,call,,
African Grey Parrot,Kinshasa,29-06-2023 15:55,"A medium-sized parrot with a gray plumage, a distinctive red tail, and a talent for mimicry",Unknown,Gray and Red,,,mimicry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gray,,,,,,medium,red,,,,,,,,,
Crested Caracara,Mexico City,06-07-2023 09:25,"A medium-sized bird of prey with a black-and-white plumage, a distinctive crest, and a hooked bill",Unknown,Black and White,,,,,,hooked,,,,,,,,,,,,,,,,,,crest,,,,,,,,,black|white,,,,,,medium,,,,,,,,,,
Mallard,New York City,07-07-2023 12:40,"A medium-sized dabbling duck with a colorful plumage, including iridescent green, a white neck ring, and a distinctive quacking call",Unknown,"Green, White, and Colorful",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,white,,green,iridescent,,,,,medium,,,,,,,,call,,
Golden-crowned Kinglet,Seattle,08-07-2023 15:05,"A small bird with a greenish-gray plumage, a black-and-white head pattern, and a distinctive golden crown",Male,"Greenish-gray, Black, and Gold",,,,,,,,,,,,,,,gold,,,,,,,black|white,,,,,,,,,,,gray|green,,,,,,small,,,,,,,,,,
Graylag Goose,Amsterdam,24-06-2023 09:55,A large goose with a grayish-brown plumage and a distinctive orange bill,Unknown,Grayish-brown and Orange,,,,orange,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gray_brown,,,,,,large,,,,,,,,,,
Prothonotary Warbler,New Orleans,01-07-2023 12:30,A small warbler with a bright yellow plumage,Male,Yellow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yellow,,,,,,small,,,,,,,,,,
Eurasian Wigeon,London,27-06-2023 16:35,"A medium-sized dabbling duck with a grayish-brown plumage, a white belly, and a distinctive white crown patch",Unknown,Grayish-brown and White,,,,,,,,,,,,,,,white,,,,,,,,,,,,,,,,,,gray_brown,,,,,,medium,,,,,white,,,,,
Yellow-throated Vireo,New York City,04-07-2023 09:55,"A small songbird with a yellow throat, a gray head, and a melodious song",Male,Yellow and Gray,,,,,,,,,,,,,,,,,,,,,,gray,,,,,,,,,,,,,,,,,small,,,,yellow,,,,song,,
Short-eared Owl,London,07-07-2023 13:30,"A medium-sized owl with a mottled brown plumage, a short ear tufts, and a distinctive ""barking"" call",Unknown,Brown,,,,,,,,,,,,,,,,,,,,,,,,ear_tufts,,,,,,,,,brown,,mottled,,,,medium,,,,,,,,call,,
Black-and-white Warbler,Chicago,25-06-2023 14:05,A small warbler with a black-and-white striped plumage,Male,Black and White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,black|white,,striped,,,,small,,,,,,,,,,
Laughing Kookaburra,Sydney,02-07-2023 16:35,"A medium-sized bird with a brownish-plumage, a white underbody, and a distinctive laughing call",Unknown,Brownish and White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brown,,,,,,medium,,,,,white,,,call,,
White-breasted Nuthatch,Seattle,09-07-2023 09:55,"A small songbird with a blue-gray upper body, a white underbody, and a distinctive ""yank-yank"" call",Unknown,Blue-gray and White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,small,,,,,white,,blue_gray,call,,
Black-headed Grosbeak,Denver,26-06-2023 12:20,"A medium-sized songbird with a black head, a rusty-orange underbody, and a large bill",Male,Black and Rusty-orange,,,,,,,,,,,,,,,,,,,,,,black,,,,,,,,,,,,,,,,,medium,,,,,orange|rust,,,,,
Rock Ptarmigan,Anchorage,03-07-2023 13:45,A medium-sized gamebird with a mottled gray-brown plumage and a distinctive white winter plumage,Male,Gray-brown and White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gray_brown,,mottled,,,,medium,,,,,,,,,,
