species,location,time,description of bird,sex,feather color,,,,,,
Northern Cardinal,Atlanta,27-06-2023 16:55,A medium-sized songbird with a red plumage and a distinctive crest,Male,Red,,,,,,
Gray-cheeked Thrush,New York City,04-07-2023 09:45,A medium-sized thrush with a gray plumage, a rusty tail, and a melodious song,Unknown,Gray and Rusty,,,,
Wood Duck,Vancouver,05-07-2023 12:10,A medium-sized duck with a colorful plumage, including iridescent green, a distinctive crested head, and a white eye patch,Male,Green, White, and Colorful,
Pileated Woodpecker,Seattle,06-07-2023 14:25,A large woodpecker with a black plumage, a red crest," and a distinctive ""laughing"" call,Unknown,Black and Red",Unknown,Black and Red,,,,
Red-headed Woodpecker,Chicago,07-07-2023 16:35,A medium-sized woodpecker with a black-and-white plumage and a bright red head,Male,Black, White, and Red,,,,
Green Heron,New Orleans,28-06-2023 09:55,A small heron with a greenish-gray plumage, a chestnut neck, and a dagger-like bill,Unknown,Greenish-gray and Chestnut,,,,
Chestnut-sided Warbler,New York City,29-06-2023 12:35,A small warbler with a yellow underbody, a chestnut-colored patch on its sides, and a gray head,Male,Yellow, Chestnut, and Gray,,
Eurasian Golden Oriole,Amsterdam,06-07-2023 14:10,A medium-sized bird with a bright yellow plumage and a melodious flute-like song,Male,Yellow,,,,,,
Sooty Tern,Sydney,07-07-2023 15:05,A medium-sized seabird with a black plumage, a white underbody," and a distinctive ""kerrr"" call,Unknown,Black and White",Unknown,Black and White,,,,
Black-chinned Hummingbird,Tucson,08-07-2023 09:55,A small hummingbird with a green back, a black chin, and a metallic sheen,Male,Green, Black, and Metallic,,
Alder Flycatcher,Seattle,26-06-2023 11:20,A small songbird with a brownish-plumage," a distinctive ""fee-bee-o"" call, and a habit of perching in alder trees,Unknown,Brownish", and a habit of perching in alder trees,Unknown,Brownish,,,,
Red-bellied Pitta,Kuala Lumpur,03-07-2023 12:30,A small bird with a colorful plumage, including red, green, and blue,Unknown,Red, Green, and Blue,
Mallard,Paris,08-07-2023 14:45,A medium-sized dabbling duck with a colorful plumage, including iridescent green, a white neck ring, and a distinctive quacking call,Unknown,Green, White, and Colorful,
Belted Kingfisher,London,27-06-2023 16:55,A medium-sized bird with a blue-gray plumage, a white underbody, and a distinctive rattling call,Unknown,Blue-gray and White,,,,
Eurasian Jackdaw,Edinburgh,09-07-2023 09:25,A small bird with a black plumage, a gray nape, and a distinctive jack-like call,Unknown,Black and Gray,,,,
Hooded Merganser,Calgary,26-06-2023 11:40,A small diving duck with a black-and-white plumage and a distinctive fan-shaped crest,Male,Black and White,,,,,,
Black-crowned Night Heron,Seattle,01-07-2023 13:45,A medium-sized heron with a black plumage, a white underbody, and red eyes,Unknown,Black, White, and Red,,
Rufous Hummingbird,Victoria,08-07-2023 15:05,A small hummingbird with a reddish-brown plumage and a metallic sheen,Male,Reddish-brown and Metallic,,,,,,
Barred Owl,Vancouver,27-06-2023 09:55,A medium-sized owl with a brown plumage, a barred chest, and a distinctive hooting call,Unknown,Brown and Barred,,,,
Ring-necked Pheasant,Denver,04-07-2023 12:40,A large gamebird with a colorful plumage, including copper, green, and brown,Male,Copper, Green, and Brown,
Snowy Egret,New Orleans,09-07-2023 14:10,A medium-sized heron with a white plumage, a slender black bill, and distinctive yellow feet,Unknown,White, Black, and Yellow,,
Bohemian Waxwing,Calgary,25-06-2023 09:45,A medium-sized bird with a gray-brown plumage, a black mask, and waxy red tips on its wings,Unknown,Gray-brown, Black, and Red,,
Oriental Magpie-Robin,Delhi,02-07-2023 11:15,A medium-sized songbird with a black-and-white plumage and a melodious song,Unknown,Black and White,,,,,,
Lilac-breasted Roller,Nairobi,07-07-2023 13:30,A colorful bird with a lilac plumage, a blue head, and a distinctive rolling flight pattern,Unknown,Lilac and Blue,,,,
Rufous-crowned Sparrow,Los Angeles,26-06-2023 16:55,A small sparrow with a brown plumage, a rusty crown, and a distinctive buzzing trill,Unknown,Brown and Rusty,,,,
Eurasian Tree Sparrow,Amsterdam,03-07-2023 09:55,A small sparrow with a brown plumage and a black patch on its cheek,Unknown,Brown and Black,,,,,,
Yellow-throated Vireo,New York City,27-06-2023 11:10,A small songbird with a yellow throat, a gray head, and a melodious song,Male,Yellow and Gray,,,,
Short-eared Owl,London,04-07-2023 13:30,A medium-sized owl with a mottled brown plumage, a short ear tufts," and a distinctive ""barking"" call,Unknown,Brown",Unknown,Brown,,,,
Black-and-white Warbler,Chicago,28-06-2023 14:45,A small warbler with a black-and-white striped plumage,Male,Black and White,,,,,,
Laughing Kookaburra,Sydney,05-07-2023 16:55,A medium-sized bird with a brownish-plumage, a white underbody, and a distinctive laughing call,Unknown,Brownish and White,,,,
White-breasted Nuthatch,Seattle,06-07-2023 09:55,A small songbird with a blue-gray upper body, a white underbody," and a distinctive ""yank-yank"" call,Unknown,Blue-gray and White",Unknown,Blue-gray and White,,,,
Black-headed Grosbeak,Denver,23-06-2023 12:40,A medium-sized songbird with a black head, a rusty-orange underbody, and a large bill,Male,Black and Rusty-orange,,,,
Rock Ptarmigan,Anchorage,01-07-2023 14:10,A medium-sized gamebird with a mottled gray-brown plumage and a distinctive white winter plumage,Male,Gray-brown and White,,,,,,
Northern Cardinal,Atlanta,07-07-2023 16:35,A medium-sized songbird with a red plumage and a distinctive crest,Male,Red,,,,,,
Gray-cheeked Thrush,New York City,26-06-2023 09:55,A medium-sized thrush with a gray plumage, a rusty tail, and a melodious song,Unknown,Gray and Rusty,,,,
Eurasian Collared Dove,Paris,15-09-2005 09:30,A medium-sized dove with a grayish-brown plumage and a distinctive black collar,Male,Grayish-brown,,,,,,
Yellow-crowned Bishop,Cape Town,10-06-2003 11:45,A small finch with a bright yellow plumage and a black crown,Male,Yellow and Black,,,,,,
Reddish Egret,Florida,20-07-2010 13:55,A medium-sized heron with a shaggy appearance, a grayish-blue body, and a reddish head and neck,Unknown,Grayish-blue and Reddish,,,,
Himalayan Monal,Himalayas,02-11-2006 16:20,A large pheasant with a colorful plumage, including green, blue, and copper,Male,Green, Blue, and Copper,
Vermilion Flycatcher,Arizona,12-05-2007 09:40,A small bird with a bright red plumage,Male,Red,,,,,,
Black-legged Kittiwake,Alaska,08-08-2011 12:30,A small gull with a white plumage, black legs," and a distinctive ""kittiwake"" call,Unknown,White and Black",Unknown,White and Black,,,,
Gray-headed Swamphen,Madagascar,24-10-2004 14:55,A medium-sized waterbird with a grayish-blue plumage, a distinctive red bill, and long legs,Unknown,Grayish-blue and Red,,,,
Chestnut-bellied Sandgrouse,Kalahari Desert,06-07-2005 16:35,A medium-sized bird with a sandy-brown plumage, a white belly, and a distinctive call,Unknown,Sandy-brown and White,,,,
Blue-headed Vireo,New York,30-09-2012 09:55,A small songbird with a grayish-blue head, a yellow underbody, and a melodious song,Male,Grayish-blue and Yellow,,,,
Malabar Trogon,India,18-12-2003 11:20,A medium-sized bird with a colorful plumage, including green, red, and blue,Unknown,Green, Red, and Blue,
Painted Bunting,Texas,03-06-2015 13:45,A small finch with a vibrant plumage, including blue, green, and red,Male,Blue, Green, and Red,
American Three-toed Woodpecker,Colorado,14-02-2008 15:10,A medium-sized woodpecker with a black-and-white plumage and three toes,Unknown,Black and White,,,,,,
Swinhoe's Pheasant,Taiwan,28-11-2002 09:25,A large pheasant with a colorful plumage, including brown, green, and white,Male,Brown, Green, and White,
Red-breasted Merganser,Maine,05-03-2019 11:15,A medium-sized diving duck with a grayish-brown plumage, a rusty breast, and a spiky crest,Male,Grayish-brown and Rusty,,,,
Dusky Warbler,Russia,17-10-2007 13:40,A small warbler with a grayish-brown plumage and a melodious song,Unknown,Grayish-brown,,,,,,
Crowned Eagle,Africa,22-06-2009 15:05,A large bird of prey with a dark brown plumage, a distinctive crest, and a powerful bill,Unknown,Dark Brown and Powerful,,,,
African Penguin,South Africa,09-09-2014 09:50,A small penguin with a black-and-white plumage, a pink patch above its eyes, and a waddling walk,Unknown,Black, White, and Pink,,
Northern Bobwhite,Florida,12-04-2001 11:15,"A small quail with a brownish-plumage and a distinctive ""bob-white"" call,Male,Brownish",Male,Brownish,,,,,,
Bateleur Eagle,Kruger National Park,07-08-2003 12:40,A large bird of prey with a black-and-white plumage, a reddish-brown back, and a short, broad tail,Unknown,Black, White, and Reddish-brown,
Crested Auklet,Alaska,14-06-2010 14:10,A small seabird with a black-and-white plumage, a distinctive orange crest, and a lively display during courtship,Unknown,Black, White, and Orange,,
Rock Ptarmigan,Alaska,30-11-2002 16:30,A medium-sized gamebird with a mottled grayish-brown plumage and feathered legs,Unknown,Grayish-brown,,,,,,
Gray-crowned Crane,Uganda,19-07-2013 09:25,A medium-sized crane with a gray plumage, a distinctive crown of golden feathers, and a graceful dance during courtship,Unknown,Gray and Golden,,,,
Black-headed Grosbeak,California,07-05-2011 11:40,A medium-sized finch with a black head, a rusty-orange underbody, and a melodious song,Male,Black and Rusty-orange,,,,
Whiskered Tern,India,25-10-2006 13:30,A small tern with a white plumage, a black cap, and distinctive black whiskers,Unknown,White and Black,,,,
Greater Yellowlegs,Florida,08-09-2012 15:50,A medium-sized wading bird with a mottled grayish-brown plumage, long yellow legs, and a loud, piercing call,Unknown,Grayish-brown and Yellow,,,
Dalmatian Pelican,Greece,26-12-2003 09:55,A large waterbird with a white plumage, a yellow bill, and a distinctive throat pouch,Unknown,White and Yellow,,,,
Himalayan Snowcock,Himalayas,05-04-2008 12:30,A large gamebird with a mottled grayish-brown plumage and a distinctive call,Unknown,Grayish-brown,,,,,,
Toco Toucan,Brazil,14-07-2010 14:55,A large bird with a black plumage, a white throat, and a long, colorful bill,Unknown,Black, White, and Colorful,
Ruby-throated Hummingbird,Texas,28-05-2004 16:35,A small hummingbird with a green back, a white underbody, and a ruby-red throat,Male,Green, White, and Ruby-red,,
Mute Swan,United Kingdom,21-08-2019 09:45,A large swan with a white plumage, an orange bill, and a graceful neck,Unknown,White and Orange,,,,
Rufous-tailed Hummingbird,Costa Rica,11-06-2002 11:20,A small hummingbird with a green back, a rusty-orange underbody, and a long, forked tail,Male,Green, Rusty-orange, and Long,
White-crowned Sparrow,California,30-11-2017 13:40,A medium-sized sparrow with a grayish-brown plumage, a white crown, and a distinctive song,Unknown,Grayish-brown and White,,,,
Eurasian Bittern,France,09-04-2003 15:05,A medium-sized heron-like bird with a brownish plumage and a distinctive booming call,Unknown,Brownish,,,,,,
Magnificent Frigatebird,Galapagos Islands,13-09-2009 09:55,A large seabird with a black plumage, a distinctive red throat pouch, and a long wingspan,Unknown,Black and Red,,,,
Common Blackbird,United Kingdom,17-03-2001 12:40,A medium-sized blackbird with a black plumage, a yellow eye ring, and a melodious song,Male,Black and Yellow,,,,
Bullock's Oriole,California,21-06-2015 14:10,A medium-sized songbird with a black-and-orange plumage,Male,Black and Orange,,,,,,
Black Guillemot,Alaska,08-07-2002 16:15,A medium-sized seabird with a black plumage, a white wing patch, and bright red feet,Unknown,Black, White, and Red,,
Common Cuckoo,United Kingdom,30-04-2010 09:25,A medium-sized bird with a grayish-brown plumage, a long tail," and a distinctive ""cuckoo"" call,Unknown,Grayish-brown",Unknown,Grayish-brown,,,,
Snowy Owl,Canada,16-12-2004 11:40,A large owl with a white plumage, a round head, and piercing yellow eyes,Unknown,White and Yellow,,,,
African Sacred Ibis,Kenya,19-07-2011 13:55,A medium-sized wading bird with a white plumage, a bald black head, and a long, downward-curved bill,Unknown,White and Black,,,
Gray Jay,Canada,21-11-2006 16:30,A medium-sized songbird with a gray plumage and a friendly disposition,Unknown,Gray,,,,,,
Rufous-collared Sparrow,Peru,28-10-2010 09:55,A small sparrow with a grayish-brown plumage and a rufous collar,Unknown,Grayish-brown and Rufous,,,,,,
Northern Pygmy-Owl,Washington,14-06-2003 12:30,A small owl with a grayish-brown plumage, a rounded head, and bright yellow eyes,Unknown,Grayish-brown and Yellow,,,,
White-throated Kingfisher,India,05-02-2019 14:50,A medium-sized bird with a blue-and-white plumage, a distinctive white throat, and a loud, piercing call,Unknown,Blue and White,,,
Black-chested Snake Eagle,South Africa,03-08-2007 16:35,A medium-sized bird of prey with a black-and-white plumage, a reddish-brown chest, and a hooked bill,Unknown,Black, White, and Reddish-brown,,
Green Honeycreeper,Costa Rica,07-11-2012 09:50,A small bird with a green plumage and a curved bill,Unknown,Green,,,,,,
Green Heron,Florida,29-05-2003 11:15,A small heron with a greenish-gray plumage, a chestnut neck, and a dagger-like bill,Unknown,Greenish-gray and Chestnut,,,,
Black-throated Magpie-Jay,Mexico,18-09-2008 13:30,A large songbird with a black-and-white plumage and a long, graduated tail,Unknown,Black and White,,,,,
Red-whiskered Bulbul,Sri Lanka,02-12-2010 15:50,A small bird with a brownish-plumage, a black crown, and distinctive red whiskers,Unknown,Brownish, Black, and Red,,
Verdin,Arizona,06-04-2004 09:45,A small songbird with a gray plumage, a yellow face, and a distinctive tufted crest,Unknown,Gray and Yellow,,,,
Ring-necked Pheasant,United Kingdom,16-07-2019 12:10,A large gamebird with a colorful plumage, including copper, green, and white,Male,Copper, Green, and White,
White-winged Crossbill,Canada,08-12-2002 14:35,A small finch with a grayish-brown plumage, a crossed bill, and a distinctive flight call,Unknown,Grayish-brown,,,,
Takahe,New Zealand,20-06-2009 16:15,A large flightless bird with a blue-and-green plumage, a red bill," and a distinctive ""tak-a-he"" call,Unknown,Blue, Green, and Red",Unknown,Blue, Green, and Red,,
Sooty Grouse,Oregon,17-05-2004 09:55,A large grouse with a mottled grayish-brown plumage, a black throat patch, and a booming call,Unknown,Grayish-brown and Black,,,,
European Robin,United Kingdom,19-12-2013 11:40,A small bird with a grayish-brown plumage, a distinctive red breast, and a melodious song,Male,Grayish-brown and Red,,,,
Black-necked Stilt,California,23-08-2002 13:45,A tall wading bird with long pink legs, a black-and-white plumage, and a long, thin bill,Unknown,Black, White, and Pink,
Red-footed Booby,Galapagos Islands,12-09-2010 16:30,A large seabird with a white plumage, a distinctive red bill and feet, and a wingspan,Unknown,White and Red,,,,
